	x	v	a
x	1.0000000000000016	-1.281954983795886e-16	-9.313780314509612e-17
v	1.1000000000000032	0.9000000000000001	5.551115123125783e-16
a	2.886579864025407e-15	0.9499999999999982	1.0999999999999999
